scene_name,entry_condition,user_message,target,scene_text,funcs
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) размер процентной ставки
3) срок кредита","Я хочу узнать, сколько будет стоить кредит, если возьму 100 тысяч.",1,"Подтверждение личности клиента. Проверка доступных кредитных продуктов. - Используй функцию get_available_credit_products() для получения информации. Предложение условий по кредиту. - Если необходимо, предложи варианты. Регистрация интереса к кредиту. - Используй функцию register_interest() для оформления.","[""get_available_credit_products(), register_interest()""]"
Консультация по ипотечному кредитованию,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотечное кредитование
2) условия по ипотечным кредитам
3) предварительная квалификация для получения ипотеки",Сколько стоит открыть счёт в вашем банке?,0,"Сбор информации о желаемой недвижимости. Оценка финансовых возможностей клиента. - Используй функцию evaluate_financial_status() для анализа. Предоставление вариантов ипотечных программ. - Если необходимо, предложи несколько вариантов. Оформление предварительного одобрения. - Используй функцию request_preapproval() для обработки.","[""evaluate_financial_status(), request_preapproval()""]"
Процесс кредитования,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) изменение кредитного лимита
3) текущие предложения по кредитам",Как мне узнать условия на получение кредита?,1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) проценты по кредитам",Какие условия на получение кредита в вашем банке?,1,"Запрос информации о необходимых документах. Определение доступных кредитных продуктов. - Используй функцию get_credit_products() для получения списка. ПроверкаEligibility для кредита. - Используй функцию check_eligibility() для анализа. Предложение альтернативных решений. - Если требуется, предоставь информацию.","[""get_credit_products(), check_eligibility()""]"
Кредит на обучение,"Запрос пользователя связан с одной из перечисленных тем:
1) кредит на обучение
2) условия получения кредита на образование","Мне нужно узнать, какие у вас бонусы по кредитным картам.",0,Подтверждение информации о кредите на обучение. ПроверкаEligibility для кредита. - Используй функцию check_eligibility() для получения информации. Обсуждение сроков и размеров кредита. - Предложи различные варианты. Оформление заявки на кредит на обучение. - Используй функцию submit_education_loan_application() для оформления.,"[""check_eligibility(), submit_education_loan_application()""]"
Изменение лимита по кредитной карте,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение лимита по кредитной карте
2) увеличение доступного кредита","Как мне узнать, какой у меня лимит по карте?",0,"Подтверждение данных клиента. Проверка текущего лимита кредитной карты. - Используй функцию check_credit_limit() для получения информации. Оценка запроса на изменение лимита. - Если необходимо, предложи варианты новых лимитов. Оформление заявки на изменение лимита. - Используй функцию submit_limit_change_request() для оформления.","[""check_credit_limit(), submit_limit_change_request()""]"
Получение кредитного отчета,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредитного отчета
2) условия получения кредита","Мне нужно узнать, как получить информацию о моем кредите, но я не клиент, так что не знаю, что делать.",1,Подтверждение идентичности клиента. Запрос кредитного отчета. - Используй функцию request_credit_report() для получения информации. Предоставление информации о возможных ошибках в отчете. Информирование клиента о сроках получения отчета.,"[""request_credit_report()""]"
Кредитование на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) ипотечное кредитование
2) условия получения кредита на жилье","Какой максимальный срок кредита, если я хочу купить квартиру? Можете сказать?",1,Сбор информации о жилье и его стоимости. Оценка платежеспособности клиента. - Используй функцию assess_client_financials() для анализа. Предложение вариантов кредитов с различными условиями. Оформление предварительного одобрения кредита. - Используй функцию pre_approve_loan() для начала процесса.,"[""assess_client_financials()"", ""pre_approve_loan()""]"
Информация о кредитной ставке,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) информация о процентных ставках","Что-то мне нужно, связанное с картами...",0,Получение текущих кредитных ставок. Проверка условий для различных типов кредитов. - Используй функцию check_credit_conditions() для получения информации. Предоставление информации о возможных изменениях ставок. Рекомендации по выбору оптимальной кредитной ставки. - Используй функцию suggest_best_rate() для формирования рекомендаций.,"[""check_credit_conditions(), suggest_best_rate()""]"
Статус заявки на кредит,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная заявка
2) статус кредита",Сколько у вас процентов по вкладам?,0,Подтверждение данных клиента. Проверка статуса заявки. - Используй функцию check_application_status() для получения информации. Информирование клиента о возможных этапах рассмотрения. Предоставление дополнительных рекомендаций по улучшению шансов на одобрение.,"[""check_application_status()""]"
Информация о кредитной линии,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение лимита кредита
2) условия получения кредита","Узнайте, сколько будет стоить ипотека, пожалуйста.",0,Подтверждение личных данных клиента. Проверка доступной кредитной линии. - Используй функцию check_credit_limit() для получения информации. Объяснение условий использования кредитной линии. - Уточни важные моменты. Предоставление информации о процессе оформления. - Используй функцию provide_application_info() для инструкций.,"[""check_credit_limit(), provide_application_info()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредите
2) статус заявки на кредит","Посмотрите, что-то с кредитом, не помню, как называется...",1,"Подтверждение данных клиента. Проверка текущего статуса кредита. - Используй функцию check_loan_status() для получения информации. Информирование о сроках выплаты. - Если необходимо, предоставь уточняющую информацию. Обновление информации о кредитном договоре. - Используй функцию update_loan_info() для внесения изменений.","[""check_loan_status(), update_loan_info()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение информации о кредите
2) изменения в кредитных условиях",Как мне перевести деньги с одного счета на другой?,0,"Подтверждение данных клиента. Проверка текущего статуса кредита. - Используй функцию check_credit_status() для получения информации. Информирование клиента о сроках обработки. - Если необходимо, уточни сроки. Предоставление информации о возможных действиях. - Уведомить о следующих шагах в зависимости от статуса.","[""check_credit_status()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) оформление кредита
2) условия получения кредита","Как получить деньги? Я слышал, что вы даёте кредиты.",1,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Микрокредитование,"Запрос пользователя связан с одной из перечисленных тем:
1) условия микрокредитов
2) процентные ставки по микрокредитам",Какой у вас курс валюты сегодня?,0,"Сбор информации о клиенте. Анализ финансового состояния. - Используй функцию analyze_financial_status() для получения данных. Предложение вариантов микрокредита. - Если необходимо, предложи подходящие условия. Оформление договора на микрокредит. - Используй функцию finalize_microloan_agreement() для завершения процесса.","[""analyze_financial_status(), finalize_microloan_agreement()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) статус кредита
2) условия кредита",Сколько у вас времени? Мой счет мне не интересен.,0,Подтверждение данных клиента. Проверка текущего статуса кредита. - Используй функцию check_loan_status() для получения информации. Информирование клиента о статусе и следующих шагах. Предложение связаться с менеджером в случае возникновения вопросов.,"[""check_loan_status()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение сроков кредитования
2) изменение процентной ставки","Что там по поводу моего кредита? Хочу узнать, можно ли уменьшить ставку.",1,"Получение информации о текущих условиях кредита. Анализ возможностей изменения условий. - Используй функцию analyze_credit_terms() для получения данных. Предложение новых условий кредита. - Если требуются, сформируй несколько вариантов. Подтверждение изменения условий. - Используй функцию confirm_credit_terms_change() для завершения процесса.","[""analyze_credit_terms(), confirm_credit_terms_change()""]"
Проверка состояния кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) состояние кредита
2) изменение условий кредита","Мне нужна информация о кредите, который я брал, а то не помню, как его проверить.",1,Подтверждение данных клиента. Получение информации о текущем состоянии кредита. - Используй функцию get_credit_status() для получения данных. Информирование клиента о возможных вариантах погашения. Ответы на дополнительные вопросы клиента.,"[""get_credit_status()""]"
Кредитная история,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитная история
2) получение кредита
3) проверка задолженности",Какой у меня номер счета в банке?,0,Подтверждение личности клиента. Запрос информации о кредитной истории. - Используй функцию retrieve_credit_report() для получения данных. Анализ кредитной истории. - Определение возможных рисков и рекомендаций. Предоставление отчета клиенту. - Используй функцию deliver_credit_report() для отправки информации.,"[""retrieve_credit_report(), deliver_credit_report()""]"
Проверка кредитной истории,"Запрос пользователя связан с одной из перечисленных тем:
1) получение информации о кредитной истории
2) исправление ошибок в кредитной истории","Просто хотел узнать, как долго до зарплаты осталось старик!",0,Подтверждение личности клиента. Получение данных о кредитной истории. - Используй функцию retrieve_credit_history() для получения информации. Анализ кредитной истории. - Оценка состояния кредитоспособности. Выдача рекомендаций по улучшению кредитной истории.,"[""retrieve_credit_history()""]"
Информация о текущих инвестициях,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции
2) портфель активов","Эй, че с моими активами? Изменилась их стоимость ли нет?",1,"Подтверждение личности клиента. Получение информации о текущих инвестициях. - Используй функцию get_current_investments() для получения данных. Анализ портфеля инвестиций. - Если требуется, предложи рекомендации по улучшению. Отправка отчета о текущих инвестициях клиенту. - Используй функцию send_investment_report() для отправки.","[""get_current_investments(), send_investment_report()""]"
Информация о кредитном лимите,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные лимиты
2) изменение условий кредита","Мне нужно узнать, сколько у меня денег на счету.",0,"Проверка данных клиента. Определение текущего кредитного лимита. - Используй функцию get_credit_limit() для получения информации. Оценка возможности увеличения лимита. - Если необходимо, предложи варианты. Обновление информации о кредитном лимите. - Используй функцию update_credit_limit() для внесения изменений.","[""get_credit_limit(), update_credit_limit()""]"
Изменение лимита по кредитной карте,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение лимита
2) увеличение кредитного лимита","Мне нужен больший лимит по кредитной карте, например, 100 тысяч.",1,"Подтверждение данных клиента. Проверка текущего лимита и истории использования карты. - Используй функцию check_current_limit() для получения информации. Определение новых условий лимита. - Если необходимо, предложи варианты. Оформление изменения лимита. - Используй функцию update_credit_limit() для внесения изменений.","[""check_current_limit(), update_credit_limit()""]"
Статус кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредите
2) статус заявки на кредит",Сколько времени вы уже работаете в банке?,0,"Подтверждение данных клиента. Проверка статуса кредита. - Используй функцию check_loan_status() для получения информации. Информирование клиента о сроках обработки. - Уточни, сколько времени может занять ответ. Предоставление дополнительных рекомендаций. - Если статус кредита неутвержден, предложи варианты улучшения.","[""check_loan_status()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) условия кредитования","Хотел бы узнать, как я могу получить потребительский кредит?",1,"Сбор информации о заемщике. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор типа кредита. - Если необходимо, предложи варианты. Оформление кредитного договора. - Используй функцию create_credit_agreement() для оформления.","[""check_credit_history(), create_credit_agreement()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) процентная ставка по кредиту",Да я просто хочу узнать про ваши услуги.,0,"Запрос данных клиента. Проверка доступных кредитных продуктов. - Используй функцию get_available_loans() для получения информации. Обсуждение условий кредита. - Если необходимо, уточни детали. Предоставление окончательной информации и рекомендаций.","[""get_available_loans()""]"
Информация о кредитах,"Запрос пользователя связан с одной из перечисленных тем:
1) текущие кредиты
2) условия кредитования
3) информация о просрочках",Почему я не могу зайти в интернет-банк?,0,"Идентификация клиента. Получение информации о текущих кредитах. - Используй функцию get_current_loans() для получения данных. Проверка статуса платежей по кредитам. - Используй функцию check_payment_status() для получения информации. Предложение вариантов рефинансирования, если у клиента есть активные кредиты.","[""get_current_loans()"", ""check_payment_status()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) ставки по кредитам","Как продлить вклады на депозит, если у вас есть деньги?",0,"Запрос информации о типах кредитов. Предоставление деталей о процентных ставках. - Используй функцию get_interest_rates() для получения информации. Объяснение условий кредитования. - Выясни, есть ли у клиента особые требования. Предложение онлайн-калькулятора для расчета выплат. - Используй функцию calculate_payments() для отображения результата.","[""get_interest_rates(), calculate_payments()""]"
Информация о кредитном лимите,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные карты
2) кредитные лимиты","Эй, что там с лимитом на карте?",1,"Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_credit_limit() для получения информации. Анализ возможности увеличения лимита. - Если необходимо, предложи варианты. Отправка уведомления о изменении лимита. - Используй функцию notify_limit_change() для информирования клиента.","[""check_credit_limit(), notify_limit_change()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) сумма кредита",Какой у вас сейчас курс валюты?,0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Подготовка документов для оформления кредита.","[""check_credit_history()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о текущем кредите
2) условия получения кредита","Какой у меня кредит? Не помню, что там по процентам.",1,"Подтверждение личности клиента. Проверка доступных кредитных продуктов. - Используй функцию fetch_available_loans() для получения информации. Обсуждение условий кредита. - Если необходимо, предложи различные варианты. Запрос дополнительных документов. - Используй функцию request_documents() для обработки.","[""fetch_available_loans(), request_documents()""]"
Кредитный рейтинг,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный рейтинг
2) улучшение кредитной истории","Мне нужно поменять номер телефона, как вы это сделаете?",0,"Запрос информации о кредитном рейтинге клиента. Проверка текущего кредитного рейтинга. - Используй функцию check_credit_score() для получения данных. Информирование клиента о факторах, влияющих на кредитный рейтинг. Рекомендации по улучшению кредитного рейтинга.","[""check_credit_score()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем: 
1) условия получения кредита
2) информация о процентах по кредиту",Какой у вас курс доллара сегодня?,0,Получение данных о клиенте. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предоставление информации о доступных кредитных продуктах. Оформление предварительной заявки на кредит. - Используй функцию submit_preliminary_application() для оформления.,"[""check_credit_history(), submit_preliminary_application()""]"
Повышение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) потребность в дополнительных средствах","Мне нужно увеличить мой кредитный лимит, он слишком мал для текущих расходов.",1,Подтверждение данных клиента. Проверка текущего кредитного лимита. - Используй функцию check_current_credit_limit() для получения информации. Оценка платежеспособности клиента. - Используй функцию assess_customer_solvency() для анализа. Оформление запроса на повышение лимита. - Используй функцию submit_limit_increase_request() для оформления.,"[""check_current_credit_limit(), assess_customer_solvency(), submit_limit_increase_request()""]"
Изменение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение лимита по кредитной карте
2) увеличение кредитного лимита",Как узнать остаток моего кредита?,0,"Подтверждение данных клиента. Проверка текущего лимита и истории использования. - Используй функцию check_credit_limit() для получения информации. Оценка возможности изменения лимита. - Если необходимо, предложи варианты изменений. Оформление запроса на изменение лимита. - Используй функцию submit_limit_change_request() для оформления.","[""check_credit_limit(), submit_limit_change_request()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные продукты
2) условия получения кредита",Как насчет займа? Могу я получить его в вашем банке?,1,"Сбор информации о клиенте. Проверка валюты и суммы кредита. - Используй функцию verify_currency_and_amount() для валидации. Предоставление информации о процентной ставке и условиях. - Если необходимо, предложи варианты. Оформление кредита. - Используй функцию process_loan_application() для завершения процесса.","[""verify_currency_and_amount(), process_loan_application()""]"
Увеличение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный лимит
2) изменение условий кредита","Как сделать так, чтобы у меня был кредит на более высокую сумму?",1,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Оценка возможности увеличения лимита. - Используй функцию assess_limit_increase() для анализа. Оформление запроса на увеличенный лимит. - Используй функцию submit_limit_increase_request() для оформления.,"[""check_credit_history(), assess_limit_increase(), submit_limit_increase_request()""]"
Оформление кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) процентные ставки по кредитам",Как быстро получить деньги в банке? Мне срочно нужно!,0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Финализация оформления кредита. - Используй функцию finalize_credit_application() для завершения процесса.","[""check_credit_history(), finalize_credit_application()""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение процентной ставки
2) изменение срока кредита","Мне нужно изменить условия моего кредита, я хочу понизить процентную ставку.",1,"Подтверждение данных клиента. Проверка текущих условий кредита. - Используй функцию check_current_loan_terms() для получения информации. Предложение новых условий изменения кредита. - Если необходимо, предложи варианты. Оформление запроса на изменение условий кредита. - Используй функцию submit_loan_terms_change_request() для оформления.","[""check_current_loan_terms(), submit_loan_terms_change_request()""]"
Оценка кредитного рейтинга,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитный рейтинг
2) получение займа
3) рекомендации по улучшению кредитной истории",У меня вопрос по поводу моего кредитного счёта,0,"Сбор информации о клиенте. Проверка текущего кредитного рейтинга. - Используй функцию check_credit_score() для получения данных. Объяснение факторов, влияющих на кредитный рейтинг. Рекомендации по улучшению кредитного рейтинга.","[""check_credit_score()""]"
Изменение лимита кредитной карты,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) изменение условий кредита",Какой мой текущий лимит по кредитной карте?,0,Подтверждение данных клиента. Проверка текущего лимита карты. - Используй функцию check_current_limit() для получения информации. Оценка платежеспособности клиента. - Используй функцию assess_affordability() для анализа. Применение изменений к лимиту. - Используй функцию update_credit_limit() для обновления.,"[""check_current_limit(), assess_affordability(), update_credit_limit()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о кредите
2) погашение кредита","У меня есть кредит, и мне нужно узнать, сколько осталось платить?",1,Подтверждение данных клиента. Получение информации о текущем кредите. - Используй функцию get_current_loan_info() для получения данных. Проверка графика платежей. - Используй функцию get_payment_schedule() для доступа к информации. Предоставление информации о возможных вариантах реструктуризации. - Используй функцию get_restructuring_options() для получения данных.,"[""get_current_loan_info(), get_payment_schedule(), get_restructuring_options()""]"
Кредит на образование,"Запрос пользователя связан с одной из перечисленных тем:
1) кредит на обучение
2) условия кредитования
3) программы поддержки студентов","Мне нужно узнать, как получить кредит на учебу в университете.",1,Подтверждение цели кредита. Проверка возможности получения кредита. - Используй функцию check_eligibility() для получения информации. Предложение образовательных программ и связанных затрат. Оформление заявки на кредит. - Используй функцию submit_education_loan_application() для оформления.,"[""check_eligibility(), submit_education_loan_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия кредитования
2) сумма займа
3) срок кредита",Как ваша компания помогает в случае потери кредитной карты?,0,Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Предоставление информации о доступных кредитных продуктах. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.,"[""check_credit_history(), submit_credit_application()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) условия получения кредита
2) информация о ставках по кредитам","Я хочу узнать, какие проценты у вас по ипотечному кредиту?",1,"Сбор данных клиента. Анализ доступных кредитных продуктов. - Используй функцию analyze_credit_products() для получения информации. Проверка соответствия требованиям. - Если необходимо, проведи оценку. Оформление предварительного предложения. - Используй функцию create_preliminary_offer() для оформления.","[""analyze_credit_products(), create_preliminary_offer()""]"
Информация о кредите,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о потребительском кредите
2) условия оформления кредита",Мне нужна помощь с переводом денег.,0,"Подтверждение данных клиента. Проверка кредитной истории. - Используй функцию check_credit_history() для получения информации. Выбор условий кредита. - Если необходимо, предложи варианты. Оформление заявки на кредит. - Используй функцию submit_credit_application() для оформления.","[""check_credit_history()"", ""submit_credit_application()""]"
Изменение лимита по кредитной карте,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение лимита
2) увеличение кредита",Какой у вас курс валюты на сегодня?,0,Подтверждение данных клиента. Проверка текущего лимита и истории использования карты. - Используй функцию check_current_limit() для получения информации. Определение нового желаемого лимита. Обработка запроса на изменение лимита. - Используй функцию process_limit_change() для выполнения.,"[""check_current_limit(), process_limit_change()""]"
Кредитные предложения,"Запрос пользователя связан с одной из перечисленных тем:
1) кредитные продукты
2) условия получения кредита","Мне нужен кредит, но я не знаю, как его получить.",1,"Сбор информации о желаемом кредите. Проверка доступных кредитных программ. - Используй функцию fetch_credit_offers() для получения информации. Сравнение условий кредитов. - Если необходимо, предложи варианты. Оформление заявки на выбранный кредит. - Используй функцию submit_credit_application() для оформления.","[""fetch_credit_offers(), submit_credit_application()""]"
Изменение лимита по кредиту,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение кредитного лимита
2) увеличение кредитных средств","Слушай, мне надо больше денег на кредитке.",1,"Подтверждение данных клиента. Проверка текущего лимита кредита. - Используй функцию check_current_limit() для получения информации. Оценка возможности изменения лимита. - Если необходимо, предложи варианты новых лимитов. Оформление запроса на изменение лимита. - Используй функцию submit_limit_change_request() для оформления.","[""check_current_limit(), submit_limit_change_request()""]"
