scene_name,entry_condition,user_message,category,target,scene_text,funcs
Восстановление доступа к карте,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) необходимость разблокировки карты","Я не могу использовать свою карту, она заблокирована. Что делать?",Проблемы с картами,1,Идентификация клиента и сбор информации о заблокированной карте. Проверка статуса карты. - Используй функцию <check_card_status> Подтверждение личности клиента через дополнительные вопросы. Снятие блокировки карты. - Функция <unlock_card> Уведомление клиента о восстановлении доступа и рекомендации по безопасности.,"[""check_card_status"", ""unlock_card""]"
Информация о транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о последних транзакциях
2) уточнение о проводимой транзакции
3) получение выписки по счету",Какой у вас курс доллара на сегодня?,Транзакции,0,"Идентификация пользователя. Запрос истории транзакций за последний месяц. - Используй функцию <getTransactionHistory()>. Фильтрация транзакций по типу (покупки, переводы и т.д.). - Применить функцию <filterTransactions()>. Проверка статуса крупных транзакций. - Используй функцию <checkLargeTransactionStatus()>. Вывод итогов и рекомендаций по дальнейшим действиям.","[""getTransactionHistory()"", ""filterTransactions()"", ""checkLargeTransactionStatus()""]"
Информация о страховании имущества,"Запрос пользователя связан с одной из перечисленных тем:
1) страхование жилья
2) страхование автотранспорта","Расскажи, как можно застраховать авто?",Страхование,1,"Получение общей информации о страховых полисах. Определение типов страхования. - Используй функцию <getInsuranceTypes()>. Оценка рисков, связанных со страхованием имущества. - Функция <assessRisk()>. Подбор условий страхования, соответствующих требованиям клиента. Оформление запроса на получение подробной информации о полисах.","[""getInsuranceTypes()"", ""assessRisk()""]"
Консультация по инвестициям,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в акции
2) диверсификация активов
3) выбор инвестиционных фондов","Мне нужно снять деньги с депозита, как это сделать?",Инвестиции,0,Оценка финансового положения клиента. Выбор подходящих инвестиционных инструментов. - Используй функцию <предложить_инструменты>. Обсуждение рисков и доходностей. - Функция <анализ_рисков>. Заключение соглашения о консультации.,"[""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0438\u0442\u044c_\u0438\u043d\u0441\u0442\u0440\u0443\u043c\u0435\u043d\u0442\u044b"", ""\u0430\u043d\u0430\u043b\u0438\u0437_\u0440\u0438\u0441\u043a\u043e\u0432""]"
Обработка заявки на кредит,"Запрос пользователя связан с одной из перечисленных тем:
1) подача заявки на кредит
2) уточнение условий кредита",Какой у вас курс доллара сегодня?,Кредитование,0,Проверка данных клиента. Оценка кредитоспособности. - Используй функцию <calculateCreditScore()>. Проверка необходимости дополнительных документов. Определение условий кредита. - Предложи варианты с использованием функции <offerLoanTerms()>. Согласование условий и подписание договора.,"[""calculateCreditScore"", ""offerLoanTerms""]"
Блокировка доступа к мобильному банку,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка доступа к мобильному приложению
2) проблемы с входом в мобильный банк","У меня заблокировался мобильный банк, не могу войти!",Мобильный банкинг,1,Проверка идентификационной информации клиента. Анализ текущей активности на счету. - Используй функцию <checkAccountActivity>. Определение причины блокировки. - Функция <logBlockReason>. Обработка запроса на блокировку. - Используй функцию <processBlockRequest>. Подтверждение успешной блокировки и информирование клиента.,"[""checkAccountActivity"", ""logBlockReason"", ""processBlockRequest""]"
Обработка подозрительной активности на счете,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительные транзакции
2) уведомления о несанкционированных списаниях","Я заметил списание с моего счета, и это явно ошибка!",Безопасность счета,1,Проверка транзакций на предмет подозрительной активности. Сравнение с историей операций клиента. - Используй функцию <compare_transactions()> Определение уровня риска и необходимость блокировки. - Функция <assess_risk()>. Уведомление клиента о выявленной активности. - Используй функцию <send_alert()>.,"[""compare_transactions()"", ""assess_risk()"", ""send_alert()""]"
Блокировка карты при подозрительных транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительные транзакции
2) несанкционированные списания",Сколько стоит открыть новый счет в вашем банке?,Проблемы с картами,0,Проверка недавних транзакций клиента. Анализ подозрительных транзакций. - Используй функцию <анализ_транзакций>. Сообщение клиенту о блокировке карты. - Функция <уведомление_клиента>. Определение возможности разблокировки карты. - Используй функцию <оценка_рисков>. Предложение альтернативных способов оплаты в случае блокировки.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u0442\u0440\u0430\u043d\u0437\u0430\u043a\u0446\u0438\u0439"", ""\u0443\u0432\u0435\u0434\u043e\u043c\u043b\u0435\u043d\u0438\u0435_\u043a\u043b\u0438\u0435\u043d\u0442\u0430"", ""\u043e\u0446\u0435\u043d\u043a\u0430_\u0440\u0438\u0441\u043a\u043e\u0432""]"
Проверка статуса транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка статуса перевода
2) вопрос о времени обработки транзакции","Я хочу узнать, где мой перевод на 5000 рублей, который я отправил вчера.",Транзакции,1,Идентификация клиента по номеру счета. Получение информации о транзакции. Проверка статуса транзакции. - Используй функцию <getTransactionStatus()>. Уточнение деталей о дате и времени транзакции. Предоставление клиенту информации о результате проверки.,"[""getTransactionStatus()""]"
Оформление страхования автомобиля,"Запрос пользователя связан с одной из перечисленных тем:
1) страхование автомобиля
2) уточнение условий страхового полиса",Как открыть депозит в вашем банке?,Страхование,0,Сбор информации о автомобиле. Проверка данных клиента. Определение типов страхования. - Используй функцию <предложить_варианты_страхования>. Расчет стоимости страхования. - Функция <рассчитать_стоимость>. Оформление полиса страхования.,"[""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0438\u0442\u044c_\u0432\u0430\u0440\u0438\u0430\u043d\u0442\u044b_\u0441\u0442\u0440\u0430\u0445\u043e\u0432\u0430\u043d\u0438\u044f"", ""\u0440\u0430\u0441\u0441\u0447\u0438\u0442\u0430\u0442\u044c_\u0441\u0442\u043e\u0438\u043c\u043e\u0441\u0442\u044c""]"
Консультация по инвестициям в криптовалюту,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиции в криптовалюту
2) открытие крипто-счета",Как открыть обычный инвестиционный счет без всяких крипто?,Инвестиции,0,Сбор информации о текущих инвестиционных предпочтениях клиента. Анализ рынка криптовалют. - Используй функцию <анализ_рынка>. Рекомендация наиболее перспективных криптоактивов. - Предложи варианты с использованием функции <подбор_активов>. Оценка рисков и возможностей. - Функция <оценка_рисков>. Подготовка плана дальнейших действий по инвестициям. - Используй функцию <создание_плана>.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u0440\u044b\u043d\u043a\u0430"", ""\u043f\u043e\u0434\u0431\u043e\u0440_\u0430\u043a\u0442\u0438\u0432\u043e\u0432"", ""\u043e\u0446\u0435\u043d\u043a\u0430_\u0440\u0438\u0441\u043a\u043e\u0432"", ""\u0441\u043e\u0437\u0434\u0430\u043d\u0438\u0435_\u043f\u043b\u0430\u043d\u0430""]"
Изменение условий кредита,"Запрос пользователя связан с изменением условий существующего кредита, например, снижение процентной ставки.
Запрос пользователя связан с изменением срока кредита или графика платежей.","Не знаю, сколько у меня кредита, но мне нужно купить что-то большое.",Кредитование,0,Проверка данных клиента. Анализ текущих условий кредита. - Используй функцию <get_current_loan_terms()> Предложение новых условий. - Подготовь варианты с использованием функции <generate_new_terms()>. Согласование новых условий. - Функция <confirm_terms_agreement()>. Завершение процесса изменения условий. - Используй функцию <finalize_loan_terms_change()>.,"[""get_current_loan_terms()"", ""generate_new_terms()"", ""confirm_terms_agreement()"", ""finalize_loan_terms_change()""]"
Восстановление доступа к мобильному банкингу,"Пользователь забыл пароль к мобильному приложению
Пользователь заблокировал доступ к мобильному банкингу",Какой у вас номер телефона для связи?,Мобильный банкинг,0,Проверка личности клиента. Отправка кода подтверждения на зарегистрированный номер телефона. - Используй функцию <sendVerificationCode()>. Сопоставление введенного кода с базой данных. - Функция <verifyCode()>. Сброс пароля и отправка нового пароля на электронную почту. Подтверждение восстановления доступа и предоставление инструкций по входу.,"[""sendVerificationCode()"", ""verifyCode()""]"
Увеличение лимита безопасности на счете,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение условий безопасности
2) запрос на настройку уведомлений о транзакциях",Какой у вас курс доллара на сегодня?,Безопасность счета,0,Запрос информации о текущем лимите безопасности. Проверка истории транзакций клиента. - Используй функцию <checkTransactionHistory()> Оценка финансового состояния клиента. - Функция <evaluateFinancialStatus()>. Предложение нового лимита безопасности. - Используй функцию <suggestNewLimit()>. Подтверждение изменения лимита безопасности.,"[""checkTransactionHistory()"", ""evaluateFinancialStatus()"", ""suggestNewLimit()""]"
Восстановление заблокированной карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) восстановление доступа к карте","Не подскажете, где можно взять кредит?",Проблемы с картами,0,Определение причин блокировки карты. Сбор информации о владельце карты. Проверка безопасности учетной записи. - Используй функцию <verify_account_security> Подготовка запроса на восстановление. - Предложи варианты с использованием функции <generate_recovery_options>. Уведомление клиента о статусе восстановления.,"[""verify_account_security"", ""generate_recovery_options""]"
Отмена транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) отмена недавней транзакции
2) ошибочный перевод","Надо отменить ту транзакцию, что была 28 число, там с деньгами не то вышло.",Транзакции,1,Проверка идентификации клиента. Верификация статуса запрашиваемой транзакции. - Используй функцию <verify_transaction_status> Определение причин отмены транзакции. - Функция <log_cancellation_reason>. Обработка запроса на отмену. - Используй функцию <process_cancellation_request>.,"[""verify_transaction_status"", ""log_cancellation_reason"", ""process_cancellation_request""]"
Информация о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о страховом полисе
2) необходимость изменения условий страхования",Я хотел бы узнать о своем страховом полисе.,Страхование,1,Проверка идентификации клиента. Получение информации о текущих полисах. - Используй функцию <getCurrentPolicies> Запрос деталей выбранного полиса. Обработка запросов на изменения условий полиса. - Функция <processPolicyChanges> Предоставление информации о сроках и выплатах.,"[""getCurrentPolicies"", ""processPolicyChanges""]"
Информация об инвестиционных продуктах,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиционные фонды
2) акции
3) облигации","Я хочу узнать, сколько у вас процентов по вкладам.",Инвестиции,0,Проверка доступных инвестиционных продуктов. Представление краткой информации о каждом продукте. Определение инвестиционных целей клиента. - Используй функцию <анализ_инвестиционных_целей> Сравнение рисков и доходностей различных продуктов. Предложение персонализированных рекомендаций. - Функция <предложение_инвестиционных_планов>.,"[""\u0430\u043d\u0430\u043b\u0438\u0437_\u0438\u043d\u0432\u0435\u0441\u0442\u0438\u0446\u0438\u043e\u043d\u043d\u044b\u0445_\u0446\u0435\u043b\u0435\u0439"", ""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0435\u043d\u0438\u0435_\u0438\u043d\u0432\u0435\u0441\u0442\u0438\u0446\u0438\u043e\u043d\u043d\u044b\u0445_\u043f\u043b\u0430\u043d\u043e\u0432""]"
Изменение условий кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) изменения процентной ставки
2) изменение срока кредита
3) рефинансирование кредита","Расскажите, как оформить вклад на высокую ставку.",Кредитование,0,Проверка данных клиента. Анализ текущих условий кредита. - Используй функцию <analyze_current_loan_conditions()> Определение возможных новых условий. - Предложи варианты с использованием функции <propose_new_loan_terms()>. Согласование новых условий кредита. Оформление изменения условий кредита. - Используй функцию <update_loan_conditions()>.,"[""analyze_current_loan_conditions"", ""propose_new_loan_terms"", ""update_loan_conditions""]"
Изменение лимитов операций,"Запрос пользователя связан с одной из перечисленных тем: 1) изменение лимитов, 2) лимиты по переводам или платежам","Почему именно так?! Я просто хочу по телефону узнать, когда мой кредит?",Мобильный банкинг,0,Проверка текущих лимитов операций. Сбор информации о необходимых изменениях. Анализ риска на основе новых лимитов. - Используй функцию <analyzeRisk>. Согласование новых лимитов с клиентом. Обновление лимитов в системе. - Используй функцию <updateLimits>.,"[""analyzeRisk"", ""updateLimits""]"
Проверка активности счета на подозрительные транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) необходимость проверить степень безопасности счета","Я заметил странную транзакцию на моем счете, хотите узнать, что это?",Безопасность счета,1,Анализ последних транзакций клиента. Проверка на соответствие транзакций обычному поведению клиента. - Используй функцию <compare_transactions>. Идентификация подозрительных транзакций. - Используй функцию <flag_suspicious_transactions>. Подготовка отчета о транзакциях для дальнейшего анализа.,"[""compare_transactions"", ""flag_suspicious_transactions""]"
Проблемы с блокировкой карты,"Запрос пользователя связан с одной из перечисленных тем:
1) блокировка карты
2) запрос на разблокировку карты",У вас есть какие-нибудь акции на кредиты?,Проблемы с картами,0,Определение причины блокировки карты. Проверка идентификационной информации клиента. - Используй функцию <validateClientInfo> Проверка статуса карты в системе. - Используй функцию <checkCardStatus> Предоставление рекомендаций по разблокировке карты.,"[""validateClientInfo"", ""checkCardStatus""]"
Информация о последней транзакции,Запрос пользователя связан с одной из перечисленных тем: 1) последняя транзакция 2) история операций,"Я хочу знать, какая последняя транзакция была с моей карты.",Транзакции,1,Запрос данных о последней транзакции клиента. Проверка статуса транзакции. - Используй функцию <checkTransactionStatus>. Отправка информации о транзакции клиенту. Формирование отчета о расходах на основе последней транзакции.,"[""checkTransactionStatus""]"
Информация о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) информация о действующем страховом полисе
2) изменение условий страхования","Скажите, как узнать, сколько денег я могу снять с банкомата?",Страхование,0,Проверка наличия полиса клиента. Получение информации о покрытии. - Используй функцию <getCoverageDetails>. Проверка сроков действия полиса. - Используй функцию <checkPolicyValidity>. Сообщение о возможных изменениях в условиях полиса.,"[""getCoverageDetails"", ""checkPolicyValidity""]"
Консультация по инвестиционным инструментам,"Запрос пользователя связан с одной из перечисленных тем:
1) выбор инвестиционных продуктов
2) анализ инвестиционных рисков
3) рекомендации по диверсификации портфеля",Чё там с инвестициями? Какие у вас есть варианты?,Инвестиции,1,Анализ инвестиционных целей клиента. Обсуждение различных типов инвестиционных инструментов. - Используй функцию <подбор_инструментов()> Оценка уровня риска. - Функция <анализ_риска()>. Предложение индивидуального инвестиционного портфеля. - Используй функцию <создание_портфеля()>. Заключение и подписание соглашения.,"[""\u043f\u043e\u0434\u0431\u043e\u0440_\u0438\u043d\u0441\u0442\u0440\u0443\u043c\u0435\u043d\u0442\u043e\u0432()"", ""\u0430\u043d\u0430\u043b\u0438\u0437_\u0440\u0438\u0441\u043a\u0430()"", ""\u0441\u043e\u0437\u0434\u0430\u043d\u0438\u0435_\u043f\u043e\u0440\u0442\u0444\u0435\u043b\u044f()""]"
Информация о кредитах на жилье,"Запрос пользователя связан с одной из перечисленных тем:
1) получение ипотечного кредита
2) условия по кредиту на жилье",Какой у вас курс доллара на сегодня? Я просто интересуюсь.,Кредитование,0,Сбор информации о недвижимости. Определение финансовых возможностей клиента. - Используй функцию <оценка кредитоспособности()> Вывод предложений по кредитным продуктам.,"[""\u043e\u0446\u0435\u043d\u043a\u0430 \u043a\u0440\u0435\u0434\u0438\u0442\u043e\u0441\u043f\u043e\u0441\u043e\u0431\u043d\u043e\u0441\u0442\u0438()""]"
Настройки уведомлений в мобильном банкинге,"Запрос пользователя связан с одной из перечисленных тем:
1) изменение настроек уведомлений
2) активация/деактивация уведомлений о транзакциях","Мне нужно узнать, как проверить баланс на счету.",Мобильный банкинг,0,Проверка текущих настроек уведомлений. Определение доступных типов уведомлений. - Используй функцию <get_notification_types>. Изменение параметров уведомлений по предпочтению клиента. - Функция <update_notification_preferences>. Подтверждение изменений и информирование клиента об обновлениях. - Функция <send_confirmation>.,"[""get_notification_types"", ""update_notification_preferences"", ""send_confirmation""]"
Проверка безопасности счета,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительные транзакции
2) несанкционированный доступ к счету",Что у вас по курсам валют? Надо обменять немного денег.,Безопасность счета,0,Проверка идентификационной информации клиента. Анализ недавней активности на счете. - Используй функцию <analyzeAccountActivity>. Сравнение с данными о местоположении. - Применить функцию <verifyLocation>. Запрос на подтверждение личности через SMS или email. - Функция <sendVerificationCode>. Завершение проверки безопасности. - Используй функцию <finalizeSecurityCheck>.,"[""analyzeAccountActivity"", ""verifyLocation"", ""sendVerificationCode"", ""finalizeSecurityCheck""]"
Блокировка карты,"Запрос пользователя связан с одной из перечисленных тем:
1) кража карты
2) блокировка карты","Я хочу узнать, какой у меня кредитный лимит.",Проблемы с картами,0,Проверка идентификационных данных клиента. Идентификация места и времени последнего использования карты. - Используй функцию <getLastTransactionDetails>. Подтверждение необходимости блокировки карты. - Функция <confirmCardBlock>. Осуществление блокировки карты. - Используй функцию <blockCard>. Информирование клиента о блокировке и следующем шаге.,"[""getLastTransactionDetails"", ""confirmCardBlock"", ""blockCard""]"
Проверка состояния транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка статуса перевода
2) уточнение времени обработки транзакции",Сколько сейчас акций у банка?,Транзакции,0,Получение информации о транзакции. Проверка статуса транзакции - Используй функцию <getTransactionStatus()>. Уточнение деталей транзакции - Функция <fetchTransactionDetails()>. Информирование клиента о времени завершения - Используй функцию <estimateCompletionTime()>.,"[""getTransactionStatus()"", ""fetchTransactionDetails()"", ""estimateCompletionTime()""]"
Получение информации о страховании жилья,"Запрос пользователя связан с одной из перечисленных тем:
1) страхование жилья
2) условия страхования
3) подача заявления на страхованный случай",Какой у вас курс валюты на сегодня?,Страхование,0,Проверка данных о недвижимости. Оценка рисков и определение страховой суммы. - Используй функцию <оценка рисков>. Предложение различных полисов страхования. - Предложи варианты с использованием функции <предложение полисов>. Согласование условий страхования. - Функция <согласование условий>. Оформление договора страхования. - Используй функцию <оформление договора>.,"[""\u043e\u0446\u0435\u043d\u043a\u0430 \u0440\u0438\u0441\u043a\u043e\u0432"", ""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0435\u043d\u0438\u0435 \u043f\u043e\u043b\u0438\u0441\u043e\u0432"", ""\u0441\u043e\u0433\u043b\u0430\u0441\u043e\u0432\u0430\u043d\u0438\u0435 \u0443\u0441\u043b\u043e\u0432\u0438\u0439"", ""\u043e\u0444\u043e\u0440\u043c\u043b\u0435\u043d\u0438\u0435 \u0434\u043e\u0433\u043e\u0432\u043e\u0440\u0430""]"
Консультация по инвестиционным продуктам,"Запрос пользователя связан с одной из перечисленных тем:
1) инвестиционные фонды
2) акции на фондовом рынке
3) облигации и долговые инструменты",Сколько стоит билет на самолет в Москву?,Инвестиции,0,Выявление потребностей клиента. Представление доступных инвестиционных продуктов. - Используй функцию <fetchInvestmentOptions>. Объяснение рисков и возможностей. - Функция <provideRiskDetails>. Сбор информации о предпочтениях клиента. Подготовка персонализированных рекомендаций.,"[""fetchInvestmentOptions"", ""provideRiskDetails""]"
Увеличение кредитного лимита,"Запрос пользователя связан с одной из перечисленных тем:
1) увеличение кредитного лимита
2) изменение условий кредита",Почему у вас такие высокие проценты по кредитам?,Кредитование,0,Проверка текущего кредитного лимита. Анализ финансовой истории клиента. - Используй функцию <analyzeCreditHistory()> Оценка платежеспособности. - Предложи варианты с использованием функции <evaluateAffordability()>. Согласование нового лимита. - Функция <agreeNewLimit()>. Оформление изменений в кредитном соглашении. - Используй функцию <processLimitIncrease()>.,"[""analyzeCreditHistory()"", ""evaluateAffordability()"", ""agreeNewLimit()"", ""processLimitIncrease()""]"
Информация о лимите на мобильные переводы,"Запрос пользователя связан с одной из перечисленных тем:
1) лимиты перевода
2) правила использования мобильного банкинга",Почему у вас такие высокие проценты по кредитам? Это же не нормально.,Мобильный банкинг,0,Получение идентификатора клиента. Проверка текущего лимита на мобильные переводы. - Используй функцию <getMobileTransferLimit>. Определение доступного лимита на основе статуса аккаунта. - Функция <calculateAvailableLimit>. Информирование клиента о лимите и возможных изменениях. - Используй функцию <notifyLimitChanges>.,"[""getMobileTransferLimit"", ""calculateAvailableLimit"", ""notifyLimitChanges""]"
Подтверждение транзакций,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная транзакция
2) уведомление о несанкционированном списании","Там в списаниях какие-то странные вещи, может, это ошибочно?",Безопасность счета,1,Обнаружение подозрительных транзакций. Проверка идентификационных данных клиента. - Используй функцию <check_client_identity>. Запрос дополнительной информации о транзакции. - Функция <request_transaction_details>. Сравнение с предыдущими транзакциями. - Используй функцию <compare_transactions>. Подтверждение подлинности транзакции клиентом.,"[""check_client_identity"", ""request_transaction_details"", ""compare_transactions""]"
Восстановление доступа к счету,"Запрос пользователя связан с одной из перечисленных тем:
1) потеря карты
2) временная блокировка карты","У меня проблемы с доступом к счету, где моя карта?",Проблемы с картами,0,Проверка идентификационных данных клиента. Установление причины блокировки доступа. Проверка статуса потерянной карты. - Используй функцию <checkLostCardStatus()>. Инициирование процедуры восстановления доступа. - Функция <initiateAccessRecovery()>.,"[""checkLostCardStatus()"", ""initiateAccessRecovery()""]"
Возврат несанкционированной транзакции,"Запрос пользователя связан с одной из перечисленных тем:
1) несанкционированные списания
2) подозрительная транзакция",Разве у вас не было каких-то акций на кредиты?,Транзакции,0,Идентификация пользователя. Проверка статуса транзакции. - Используй функцию <checkTransactionStatus> Сбор информации о причинах возврата. Обработка запроса на возврат. - Функция <processRefundRequest> Подтверждение возврата и уведомление клиента.,"[""checkTransactionStatus"", ""processRefundRequest""]"
Получение информации о страховом полисе,"Запрос пользователя связан с одной из перечисленных тем:
1) проверка статуса полиса
2) изменение условий страхования",Как дела с моим страховочным документом?,Страхование,0,Проверка наличия страхового полиса. Получение деталей полиса. - Используй функцию <getPolicyDetails()> Определение статуса полиса. - Функция <checkPolicyStatus()>. Выявление сроков действия полиса. - Используй функцию <getPolicyDuration()>. Предоставление информации о выплатах. - Функция <getPayoutInfo()>.,"[""getPolicyDetails()"", ""checkPolicyStatus()"", ""getPolicyDuration()"", ""getPayoutInfo()""]"
Консультация по инвестиционным фондам,"Запрос пользователя связан с одной из перечисленных тем:
1) выбор инвестиционного фонда
2) анализ рисков инвестиций
3) изменение портфеля инвестиций","Напомните, как открыть расчетный счет в вашем банке?",Инвестиции,0,Проверка инвестиционных целей клиента. Оценка текущего портфеля. - Используй функцию <оценка_портфеля()>. Предоставление информации о различных фондах. - Функция <предложение_фондов()>. Обсуждение рисков и доходностей. - Используй функцию <анализ_рисков()>. Рекомендация оптимальных фондов для инвестирования.,"[""\u043e\u0446\u0435\u043d\u043a\u0430_\u043f\u043e\u0440\u0442\u0444\u0435\u043b\u044f()"", ""\u043f\u0440\u0435\u0434\u043b\u043e\u0436\u0435\u043d\u0438\u0435_\u0444\u043e\u043d\u0434\u043e\u0432()"", ""\u0430\u043d\u0430\u043b\u0438\u0437_\u0440\u0438\u0441\u043a\u043e\u0432()""]"
Получение предодобренного кредита,"Запрос пользователя связан с одной из перечисленных тем:
1) получение кредита
2) предварительное одобрение кредита",Почему ваш банк такой медленный? Я жду ответа на заявку на кредит!,Кредитование,1,Проверка кредитоспособности клиента. Анализ текущих финансовых обязательств. - Используй функцию <analyze_financial_obligations()>. Определение суммы и сроков кредита. - Предложи варианты с использованием функции <offer_credit_options()>. Согласование условий кредита. - Функция <confirm_credit_terms()>.,"[""analyze_financial_obligations()"", ""offer_credit_options()"", ""confirm_credit_terms()""]"
Восстановление доступа к мобильному банкингу,"Пользователь не может войти в мобильное приложение банка.
Пользователь забыл свой пароль от мобильного банкинга.","Я хочу узнать, где ближайший банкомат, не могу зайти в приложение!",Мобильный банкинг,0,Проверка идентификационных данных клиента. Подтверждение личности через SMS-верификацию. - Используй функцию <send_sms_verification>. Предоставление информации о дальнейших действиях для восстановления доступа. Блокировка предыдущего доступа для безопасности. - Функция <block_previous_access>. Создание нового пароля и подтверждение его.,"[""send_sms_verification"", ""block_previous_access""]"
Проверка безопасности счета,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительная активность на счете
2) необъяснимые списания средств","Какой у меня баланс на счету? Я хочу проверить, достаточно ли у меня средств.",Безопасность счета,0,Идентификация клиента. Проверка последних транзакций. - Используй функцию <get_recent_transactions()> Верификация источника доступа. - Функция <verify_access_source()>. Оценка подозрительных действий. Сообщение о результатах проверки.,"[""get_recent_transactions()"", ""verify_access_source()""]"
Блокировка карты при подозрительных транзакциях,"Запрос пользователя связан с одной из перечисленных тем:
1) подозрительные транзакции
2) блокировка карты","Я заметил, что на моей карте есть транзакции, которых я не делал, она заблокирована.",Проблемы с картами,1,Проверка активности по счету. Идентификация подозрительных транзакций. - Используй функцию <find_suspicious_transactions>. Извещение пользователя о блокировке карты. - Функция <send_notification>. Проверка безопасности учетной записи. - Используй функцию <verify_account_security>.,"[""find_suspicious_transactions"", ""send_notification"", ""verify_account_security""]"
